claim_id,tier,status,claim,evidence,allowed_manuscript_wording,forbidden_or_overstated_wording,note
P1,PRIMARY,PASS,The corrected experimental endpoint contains five plateau-potentiating cells at -40 mV.,"Step04: potentiating=5, suppressing=5, neutral=1; potentiating r range=1.635930-4.072559.",Five cell series showed a deeper negative inter-pulse plateau under Ro25 at -40 mV.,Do not call 5/11 a biological prevalence estimate.,"Control is same-day reference, not proven within-cell."
P2_broad,PRIMARY,PASS,The Base topology permits Braess-like train-plateau potentiation under the broad prior.,31.24% of parameter sets show r_plateau>1 somewhere on the 80-node forcing grid; 100.00% of forcing nodes contain at least one Braess parameter set.,The unmodified network topology admits a Braess-like response after B-route removal.,Do not interpret parameter/grid fractions as experimental frequency or prevalence.,
P2_reference,PRIMARY,PASS,The Base topology permits Braess-like train-plateau potentiation under the reference prior.,98.50% of parameter sets show r_plateau>1 somewhere on the 80-node forcing grid; 92.50% of forcing nodes contain at least one Braess parameter set.,The unmodified network topology admits a Braess-like response after B-route removal.,Do not interpret parameter/grid fractions as experimental frequency or prevalence.,
P3,PRIMARY,PASS,Experimental-scale Braess responses are mathematically possible in the Base model without B-slow.,"Broad strongest constructive witness: sample_id=37318, G950_T100, r(dt=0.1)=1.874510, r(dt=0.05)=1.874470; minimum frozen experimental target=1.635930.","A rare Base parameter set produced a numerically stable response of experimental scale, showing that additional kinetic asymmetry is not necessary for mathematical existence of a large effect.",Do not imply that experimental-scale Base responses are typical or common.,
S1_broad,SUPPORTING,PASS,Typical Base Braess magnitude is small at the maximum-frequency broad node.,"G950_T100: braess_fraction=0.2938, median r among Braess cases=1.008426, Braess q90=1.068379.","Although topologically accessible, the typical Base effect is small.",Do not equate high accessibility with experimental-scale magnitude.,
S1_reference,SUPPORTING,PASS,Typical Base Braess magnitude is small at the maximum-frequency reference node.,"G950_T100: braess_fraction=0.9814, median r among Braess cases=1.007182, Braess q90=1.019324.","Although topologically accessible, the typical Base effect is small.",Do not equate high accessibility with experimental-scale magnitude.,
S2_broad_sB0.05,SUPPORTING,PASS,B-route slowing amplifies the latent Braess regime in the broad prior at sB=0.05.,"Same 300 parameter sets x forcing contexts: Base=0.104708, slowed=0.737917, delta=0.633208; experimental-min fraction=0.179167.",B-route slowing broadens and strengthens expression of the latent topological effect.,Do not say B-slow creates the possibility of Braess behavior.,
S2_broad_sB0.03,SUPPORTING,PASS,B-route slowing amplifies the latent Braess regime in the broad prior at sB=0.03.,"Same 300 parameter sets x forcing contexts: Base=0.104708, slowed=0.851708, delta=0.747000; experimental-min fraction=0.243583.",B-route slowing broadens and strengthens expression of the latent topological effect.,Do not say B-slow creates the possibility of Braess behavior.,
S2_broad_sB0.01,SUPPORTING,PASS,B-route slowing amplifies the latent Braess regime in the broad prior at sB=0.01.,"Same 300 parameter sets x forcing contexts: Base=0.104708, slowed=0.986583, delta=0.881875; experimental-min fraction=0.328167.",B-route slowing broadens and strengthens expression of the latent topological effect.,Do not say B-slow creates the possibility of Braess behavior.,
S3_reference_nonmonotonic,SUPPORTING,PASS,B-slow effects are non-monotonic under the reference prior.,sB=1: fraction=0.407750; sB=0.1: fraction=0.011792; sB=0.075: fraction=0.031917; sB=0.05: fraction=0.130042; sB=0.03: fraction=0.383333; sB=0.02: fraction=0.617083; sB=0.01: fraction=0.886625,"Under the reference prior, moderate slowing can suppress the Braess regime, whereas stronger slowing re-expands it.",Do not describe B-slow as universally monotonic across priors.,
